nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity,    x-coordinate,    y-coordinate
         1, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 7.812500000E-03, 0.000000000E+00,-1.529677993E-06, 0.000000000E+00, 0.000000000E+00, 7.812500000E-03, 0.000000000E+00
         3, 1.562500000E-02, 0.000000000E+00,-8.924406560E-06, 0.000000000E+00, 0.000000000E+00, 1.562500000E-02, 0.000000000E+00
         4, 2.343750000E-02, 0.000000000E+00,-3.086895245E-05, 0.000000000E+00, 0.000000000E+00, 2.343750000E-02, 0.000000000E+00
         5, 3.125000000E-02, 0.000000000E+00,-7.229870235E-05, 0.000000000E+00, 0.000000000E+00, 3.125000000E-02, 0.000000000E+00
         6, 3.906250000E-02, 0.000000000E+00,-1.327885085E-04, 0.000000000E+00, 0.000000000E+00, 3.906250000E-02, 0.000000000E+00
         7, 4.687500000E-02, 0.000000000E+00,-2.095132949E-04, 0.000000000E+00, 0.000000000E+00, 4.687500000E-02, 0.000000000E+00
         8, 5.468750000E-02, 0.000000000E+00,-3.016903960E-04, 0.000000000E+00, 0.000000000E+00, 5.468750000E-02, 0.000000000E+00
         9, 6.250000000E-02, 0.000000000E+00,-4.044465255E-04, 0.000000000E+00, 0.000000000E+00, 6.250000000E-02, 0.000000000E+00
        10, 7.031250000E-02, 0.000000000E+00,-5.124918331E-04, 0.000000000E+00, 0.000000000E+00, 7.031250000E-02, 0.000000000E+00
        11, 7.812500000E-02, 0.000000000E+00,-6.301863690E-04, 0.000000000E+00, 0.000000000E+00, 7.812500000E-02, 0.000000000E+00
        12, 8.593750000E-02, 0.000000000E+00,-7.508807941E-04, 0.000000000E+00, 0.000000000E+00, 8.593750000E-02, 0.000000000E+00
        13, 9.375000000E-02, 0.000000000E+00,-8.708707337E-04, 0.000000000E+00, 0.000000000E+00, 9.375000000E-02, 0.000000000E+00
        14, 1.015625000E-01, 0.000000000E+00,-9.927629108E-04, 0.000000000E+00, 0.000000000E+00, 1.015625000E-01, 0.000000000E+00
        15, 1.093750000E-01, 0.000000000E+00,-1.113184808E-03, 0.000000000E+00, 0.000000000E+00, 1.093750000E-01, 0.000000000E+00
        16, 1.171875000E-01, 0.000000000E+00,-1.230644176E-03, 0.000000000E+00, 0.000000000E+00, 1.171875000E-01, 0.000000000E+00
        17, 1.250000000E-01, 0.000000000E+00,-1.344044698E-03, 0.000000000E+00, 0.000000000E+00, 1.250000000E-01, 0.000000000E+00
